year,month,TagName,question_count
"2019","1","c#","8744"
"2019","1","css","4560"
"2019","1","html","7062"
"2019","1","java","27295"
"2019","1","javascript","16005"
"2019","1","php","7448"
"2019","1","python","19380"
"2019","1","r","110531"
"2019","1","sql","10558"
"2019","1","typescript","2349"
"2019","2","c#","8356"
"2019","2","css","4396"
"2019","2","html","6794"
"2019","2","java","26871"
"2019","2","javascript","15653"
"2019","2","php","7506"
"2019","2","python","19852"
"2019","2","r","107693"
"2019","2","sql","10490"
"2019","2","typescript","2412"
"2019","3","c#","8961"
"2019","3","css","4894"
"2019","3","html","7697"
"2019","3","java","29643"
"2019","3","javascript","17312"
"2019","3","php","8075"
"2019","3","python","22608"
"2019","3","r","118524"
"2019","3","sql","11593"
"2019","3","typescript","2457"
"2019","4","c#","9103"
"2019","4","css","4405"
"2019","4","html","7109"
"2019","4","java","27539"
"2019","4","javascript","16131"
"2019","4","php","7495"
"2019","4","python","22845"
"2019","4","r","111674"
"2019","4","sql","10903"
"2019","4","typescript","2456"
"2019","5","c#","9028"
"2019","5","css","4353"
"2019","5","html","6909"
"2019","5","java","27389"
"2019","5","javascript","16098"
"2019","5","php","7172"
"2019","5","python","21601"
"2019","5","r","110849"
"2019","5","sql","10635"
"2019","5","typescript","2457"
"2019","6","c#","7584"
"2019","6","css","3908"
"2019","6","html","6298"
"2019","6","java","24596"
"2019","6","javascript","14768"
"2019","6","php","6197"
"2019","6","python","19774"
"2019","6","r","100489"
"2019","6","sql","9108"
"2019","6","typescript","2361"
"2019","7","c#","8437"
"2019","7","css","4410"
"2019","7","html","7111"
"2019","7","java","27174"
"2019","7","javascript","16089"
"2019","7","php","6893"
"2019","7","python","22846"
"2019","7","r","111807"
"2019","7","sql","10443"
"2019","7","typescript","2533"
"2019","8","c#","7691"
"2019","8","css","4216"
"2019","8","html","6225"
"2019","8","java","24470"
"2019","8","javascript","15169"
"2019","8","php","6048"
"2019","8","python","20991"
"2019","8","r","102010"
"2019","8","sql","9279"
"2019","8","typescript","2293"
"2019","9","c#","7839"
"2019","9","css","3985"
"2019","9","html","6122"
"2019","9","java","24715"
"2019","9","javascript","14828"
"2019","9","php","5806"
"2019","9","python","19508"
"2019","9","r","101414"
"2019","9","sql","9254"
"2019","9","typescript","2336"
"2019","10","c#","8396"
"2019","10","css","4240"
"2019","10","html","6589"
"2019","10","java","27337"
"2019","10","javascript","15953"
"2019","10","php","6288"
"2019","10","python","23247"
"2019","10","r","112819"
"2019","10","sql","10584"
"2019","10","typescript","2463"
"2019","11","c#","8005"
"2019","11","css","4037"
"2019","11","html","6619"
"2019","11","java","26156"
"2019","11","javascript","15687"
"2019","11","php","6316"
"2019","11","python","23209"
"2019","11","r","110123"
